id,ip,country,port,root_folders,date_added
61,83.86.115.160,NL,443,"allplan1,Movies,Music,Shared Documents","2014-04-25 00:41:10"
62,83.160.76.254,NL,443,"Backups,Documents,Movies,Music,Pictures,stls_userdata,test,TimeMachine","2014-04-25 00:41:10"
63,94.208.162.26,NL,443,"Backups,docsalice,Documents,Movies,Music,Pictures","2014-04-25 00:41:10"
64,84.27.46.227,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:10"
65,84.31.147.113,NL,443,"Backups,Movies,Music,Photos,Pictures,Public,TV","2014-04-25 00:41:10"
66,84.28.242.17,NL,443,"Back Up,Music,Pictures,PretZels","2014-04-25 00:41:10"
67,94.213.106.80,NL,443,"Movies,Music,Pictures,Series","2014-04-25 00:41:10"
68,84.24.101.84,NL,443,"Backups,Documents,ext,Movies,Music,Pictures","2014-04-25 00:41:10"
69,83.80.224.113,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:10"
70,83.86.32.94,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:10"
71,62.45.169.144,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:10"
72,83.81.104.111,NL,443,alarm,"2014-04-25 00:41:10"
73,84.28.135.249,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:10"
74,82.75.235.46,NL,443,"Backups,Documents,Movies,Music,Pictures,TimeMachine","2014-04-25 00:41:10"
75,84.31.100.219,NL,443,"Documents,Movies,PC Games,Pictures","2014-04-25 00:41:10"
76,62.45.117.57,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:10"
77,217.120.194.151,NL,443,"Backup,DocumentsNetwerk,FotosNetwerk,Movies,Music","2014-04-25 00:41:10"
78,84.105.44.5,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,Series,TimeMachine","2014-04-25 00:41:10"
79,88.159.60.96,NL,443,"Backups,Games,Movies,Music,Pictures,Series,Software,USB_WD_My_Passport_0820_ij_1,Videos","2014-04-25 00:41:10"
80,84.29.187.19,NL,443,"Documents,Films en Serie,Fotos,Music,TimeMachine","2014-04-25 00:41:10"
81,212.204.180.82,NL,443,Documents,"2014-04-25 00:41:11"
82,24.132.38.34,NL,443,"Media,Movies","2014-04-25 00:41:11"
83,46.129.45.21,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer,TimeMachine","2014-04-25 00:41:11"
84,84.107.133.129,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
85,83.87.12.23,NL,443,"Backups,Documents,Movies,Music,Pictures,QuikTransfer","2014-04-25 00:41:11"
86,82.74.142.246,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
87,83.83.206.167,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
88,212.83.94.100,NL,443,Video,"2014-04-25 00:41:11"
89,94.211.52.80,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
90,94.208.118.144,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
91,213.125.22.99,NL,443,Backups,"2014-04-25 00:41:11"
92,37.17.208.29,NL,443,"Backups,Movies,Music,Pictures","2014-04-25 00:41:11"
93,83.85.202.139,NL,443,"Backups,Documents,Movies,Music,Pictures","2014-04-25 00:41:11"
